text,label
"I want to book an appointment with Dr. Rao","appointment"
"Can I schedule a visit for tomorrow?","appointment"
"I need to see the cardiologist next week","appointment"
"Book me an appointment with Dr. Smith","appointment"
"I'd like to schedule a consultation","appointment"
"Can I get an appointment for Friday?","appointment"
"I need to see a doctor urgently","appointment"
"Schedule me with the orthopedic surgeon","appointment"
"I want to book a follow-up appointment","appointment"
"Can I see Dr. Johnson this afternoon?","appointment"
"I need an appointment for my daughter","appointment"
"Book an appointment for blood pressure check","appointment"
"I want to schedule a routine checkup","appointment"
"Can I get an evening appointment?","appointment"
"I need to see the neurologist","appointment"
"Schedule me for a dental cleaning","appointment"
"I want to book an eye examination","appointment"
"Can I schedule a physical therapy session?","appointment"
"I need an appointment for vaccination","appointment"
"Book me with the dermatologist","appointment"
"I want to see the psychiatrist","appointment"
"Can I schedule a mammogram?","appointment"
"I need an appointment for X-ray","appointment"
"Book me for a colonoscopy","appointment"
"I want to schedule surgery consultation","appointment"
"Please help me book an appointment","appointment"
"I need to reschedule my visit","appointment"
"Can I change my appointment time","appointment"
"I want to meet the doctor tomorrow","appointment"
"Schedule an urgent consultation","appointment"
"Book me for next Monday","appointment"
"I need to see a specialist","appointment"
"Can I get a same day appointment","appointment"
"I want to book for my son","appointment"
"Schedule me with the pediatrician","appointment"
"I need an early morning slot","appointment"
"Can I book online appointment","appointment"
"I want weekend appointment","appointment"
"Please book emergency appointment","appointment"
"I need to confirm my appointment","appointment"
"How much do I need to pay for my surgery?","billing"
"What's the cost of my treatment?","billing"
"I received a bill but don't understand it","billing"
"Can you explain my medical charges?","billing"
"I think there's an error in my bill","billing"
"What's covered by my insurance?","billing"
"I need a payment plan for my treatment","billing"
"How much will the procedure cost?","billing"
"I want to dispute a charge","billing"
"Can I get an itemized bill?","billing"
"My insurance didn't cover the full amount","billing"
"I need help with payment options","billing"
"What's the cost of diagnostic tests?","billing"
"I want to check my account balance","billing"
"How much do I owe for the consultation?","billing"
"I need a receipt for my payment","billing"
"Can I pay my bill online?","billing"
"I want to set up automatic payments","billing"
"My co-pay seems incorrect","billing"
"I need financial assistance information","billing"
"What's the cost of emergency room visit?","billing"
"I want to understand my deductible","billing"
"Can you break down the surgery costs?","billing"
"I need help with insurance claims","billing"
"What payment methods do you accept?","billing"
"I can't afford my medical bills","billing"
"The charges seem too high","billing"
"I need a payment extension","billing"
"My insurance was rejected","billing"
"Can I get a discount on treatment","billing"
"I want to pay in installments","billing"
"The billing department overcharged me","billing"
"I need my insurance pre-approved","billing"
"What's my outstanding balance","billing"
"I want to use my HSA card","billing"
"The medical costs are confusing","billing"
"I need help with Medicare billing","billing"
"Can I get a refund","billing"
"The invoice has wrong information","billing"
"I need financial counseling","billing"
"I still haven't received my blood test report","reports"
"Where are my lab results?","reports"
"I need a copy of my medical report","reports"
"My X-ray results are missing","reports"
"Can I get my test results by email?","reports"
"I'm waiting for my MRI report","reports"
"Please send me my pathology report","reports"
"I need my vaccination records","reports"
"Where is my discharge summary?","reports"
"I want a copy of my prescription history","reports"
"My biopsy results haven't arrived","reports"
"I need my allergy test report","reports"
"Can you send my cardiac report?","reports"
"I'm missing my ultrasound results","reports"
"I need my physical therapy notes","reports"
"Where are my colonoscopy results?","reports"
"I want my complete medical history","reports"
"My CT scan report is delayed","reports"
"I need my blood pressure readings","reports"
"Can I get my diabetic test results?","reports"
"I'm waiting for my hormone level report","reports"
"Please provide my cholesterol results","reports"
"I need my cancer screening report","reports"
"Where are my kidney function tests?","reports"
"I want my mental health evaluation report","reports"
"My lab work is taking too long","reports"
"I need my surgical notes","reports"
"Can you email my test results","reports"
"I want my radiology images","reports"
"My doctor needs my previous reports","reports"
"I need my immunization history","reports"
"Where are my ECG results","reports"
"I want copies of all my records","reports"
"My genetic test results are missing","reports"
"I need my pregnancy test report","reports"
"Can I access my portal for results","reports"
"My stress test report is pending","reports"
"I want my therapy session notes","reports"
"I need my dental X-ray reports","reports"
"My vision test results are delayed","reports"
"I want to raise a complaint about the waiting time","complaint"
"The staff was rude to me","complaint"
"I'm unhappy with the service quality","complaint"
"The doctor didn't listen to my concerns","complaint"
"I waited 3 hours for my appointment","complaint"
"The facility was not clean","complaint"
"I want to complain about the noise level","complaint"
"The receptionist was unprofessional","complaint"
"I'm dissatisfied with the treatment","complaint"
"The equipment seemed outdated","complaint"
"I want to file a complaint about billing errors","complaint"
"The parking situation is terrible","complaint"
"I'm unhappy with the food quality","complaint"
"The room temperature was uncomfortable","complaint"
"I want to complain about the discharge process","complaint"
"The medication side effects weren't explained","complaint"
"I'm unsatisfied with the follow-up care","complaint"
"The appointment was cancelled without notice","complaint"
"I want to complain about privacy violations","complaint"
"The staff didn't wear proper protective equipment","complaint"
"I'm unhappy with the communication","complaint"
"The emergency room wait was excessive","complaint"
"I want to file a complaint about misdiagnosis","complaint"
"The insurance verification process was slow","complaint"
"I'm dissatisfied with the referral process","complaint"
"The nurses were not helpful","complaint"
"I had a bad experience with the doctor","complaint"
"The hospital is too noisy at night","complaint"
"I want to report unprofessional behavior","complaint"
"The medical staff seemed rushed","complaint"
"I'm upset about the poor service","complaint"
"The facility lacks cleanliness standards","complaint"
"I want to complain about long wait times","complaint"
"The staff made scheduling errors","complaint"
"I'm dissatisfied with the care quality","complaint"
"The treatment was not what I expected","complaint"
"I want to report a safety concern","complaint"
"The communication was very poor","complaint"
"I had issues with the pharmacy","complaint"
"The discharge instructions were unclear","complaint"
"I'm unhappy with the overall experience","complaint"
